Identifiant;Type Objet;Modèle;N° Voie Pair;N° Voie Impair;Voie;Commune;Disponibilité;Début Indisponibilité;Fin Indisponibilité;Motif Indisponibilité;geo_shape;geo_point_2d
450073002;FONTAINE_ARCEAU;Fontaine Arceau;70;;RUE DE TOCQUEVILLE;PARIS 17EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3106953906391445, 48.88519762210195], ""type"": ""Point""}";48.88519762210195, 2.3106953906391445
450072955;FONTAINE_ARCEAU;Fontaine Arceau;;29;PLACE MOHAMMED V;PARIS 5EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3566554468167014, 48.84926965457554], ""type"": ""Point""}";48.84926965457554, 2.3566554468167014
450080592;FONTAINE_ARCEAU;Fontaine Arceau;2;;BOULEVARD ORNANO;PARIS 18EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3497809805616368, 48.891697192767886], ""type"": ""Point""}";48.891697192767886, 2.3497809805616368
450080633;FONTAINE_ARCEAU;Fontaine Arceau;;3;RUE CESARIA EVORA;PARIS 19EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.379913783813216, 48.89802377637389], ""type"": ""Point""}";48.89802377637389, 2.379913783813216
450025481;FONTAINE_BOIS;Wallace Bois;;;ROUTE DE LA FERME;PARIS 12EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.4640376069421412, 48.8273387143695], ""type"": ""Point""}";48.8273387143695, 2.4640376069421412
450025841;FONTAINE_BOIS;Ville de Paris Bois;;;ROUTE DES LACS A MADRID;PARIS 16EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.25523545638459, 48.87372262900561], ""type"": ""Point""}";48.87372262900561, 2.25523545638459
450025561;FONTAINE_BOIS;Wallace Bois;;;ROUTE CEINTURE LAC DAUMESNIL;PARIS 12EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.408964100773884, 48.83118656523327], ""type"": ""Point""}";48.83118656523327, 2.408964100773884
450072812;FONTAINE_BOIS;Salamandre;;;PLACE DE L ABBE G HENOCQUE;PARIS 13EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3532783723165838, 48.82383313951834], ""type"": ""Point""}";48.82383313951834, 2.3532783723165838
450019160;FONTAINE_BOIS;GHM Bois;;;SQUARE BREGUET-SABIN;PARIS 11EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.371626138450225, 48.85846541897845], ""type"": ""Point""}";48.85846541897845, 2.371626138450225
450072605;FONTAINE_BOIS;GHM Bois;;57F;RUE PIXERECOURT;PARIS 20EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.396189220430257, 48.87333728254811], ""type"": ""Point""}";48.87333728254811, 2.396189220430257
450072307;FONTAINE_BOIS;Particulier;;17;RUE PAULY;PARIS 14EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3132503997621296, 48.830525202028156], ""type"": ""Point""}";48.830525202028156, 2.3132503997621296
450072601;FONTAINE_BOIS;Bayard D1;;257F;SQUARE DU DOCTEUR VARIOT;PARIS 20EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.4066435758261653, 48.87606458808555], ""type"": ""Point""}";48.87606458808555, 2.4066435758261653
450072175;FONTAINE_BOIS;GHM Bois;26F;;AVENUE DAUMESNIL;PARIS 12EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3740086332883146, 48.848215514916596], ""type"": ""Point""}";48.848215514916596, 2.3740086332883146
